sku_id,asin,marketplace,identity_status,amazon_url,title,brand_store_text,price,rating,review_count,bought_past_month,ships_from,sold_by,availability,breadcrumbs_json,image_count,source_json,source_screenshot,observed_at,allowed_use
pink-unicorn-plush-rocker,B072LXVM36,Amazon US,accepted_browser_visual_sample,https://www.amazon.com/dp/B072LXVM36,"labebe - Baby Rocking Horse, Ride Unicorn, Kid Ride On Toy for 6 Month-3 Year Old, Infant (Boy Girl) Plush Animal Rocker, Toddler/Child Stuffed Ride Toy (Pink) | Kid Ride On Toy, Infant, Plush Animal Rocker, Toddler/Child, Stuffed Ride Toy",Visit the labebe Store,$99.99,4.7,2657,100+ bought in past month,Amazon,Labebe Store,In Stock,"[""Toys & Games"", ""Baby & Toddler Toys"", ""Rocking Horses & Animals""]",40,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B072LXVM36_structured.json,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B072LXVM36_structured.png,2026-04-27T16:52:11.142Z,listing_fact_for_accepted_sample
cream-wooden-play-kitchen-set-with-storage,B0FH1KX7XQ,Amazon US,accepted_browser_visual_sample,https://www.amazon.com/dp/B0FH1KX7XQ,"labebe Play Kitchen for Kids Indoor Pretend Play, Wood Toy Set with 2 Storage Boxes, Stove, Sink, Ice Maker, Pots and Pans, Kitchen Set for Cooking Play",Visit the labebe Store,"JPY20,701",4.4,25,50+ bought in past month,Amazon,Pretty valley,In Stock,"[""Toys & Games"", ""Dress Up & Pretend Play"", ""Kitchen Toys"", ""Kitchen Playsets""]",26,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B0FH1KX7XQ_structured.json,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0FH1KX7XQ_structured.png,2026-04-27T17:22:19.129Z,listing_fact_for_accepted_sample
llama-plush-rocker,B07MFXJ28Y,Amazon US,accepted_browser_visual_sample,https://www.amazon.com/dp/B07MFXJ28Y,"labebe - Baby Rocking Horse Wooden, Plush Stuffed Rocking Animals White, Kid Ride on Toys for 1-3 Years Old, Llama Rocking Horse for Girl&Boy, Toddler/Infant Rocker for Nursery, Kid Riding Toys/Horse",Visit the labebe Store,$129.99,4.7,358,,Amazon,Labebe Store,Only 4 left in stock - order soon.,"[""Toys & Games"", ""Baby & Toddler Toys"", ""Rocking Horses & Animals""]",24,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B07MFXJ28Y_structured.json,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B07MFXJ28Y_structured.png,2026-04-27T17:22:19.318Z,listing_fact_for_accepted_sample
fox-plush-rocker,B0DSVJB5QH,Amazon US,accepted_but_search_mismatch_source,https://www.amazon.com/dp/B0DSVJB5QH,"labebe - Baby Rocking Horse, Brownish Red Fox Rocking Horse with Seat Belt, Plush Animal Rocker for Kids, Stuffed Rocker Toy for Children 6M-3 Years Old Girl&Boy",Visit the labebe Store,"JPY14,888",4.8,69,50+ bought in past month,Amazon,Labebe Store,In Stock,"[""Toys & Games"", ""Baby & Toddler Toys"", ""Rocking Horses & Animals""]",19,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B0DSVJB5QH_structured.json,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0DSVJB5QH_structured.png,2026-04-27T17:22:19.203Z,listing_fact_for_accepted_sample
doll-stroller-baby-push-walker,B087P9SXZQ,Amazon US,candidate_visual_conflict,https://www.amazon.com/dp/B087P9SXZQ,"labebe Baby Push Walker Doll Stroller, Push Toy for Toddler, Shopping Cart for Girls and Boys 1 Years Old, Kids Stand Learning Walker, Wooden Play Wagon with Wheel, Larger Size 15.2 * 18.7 * 19.7",Visit the labebe Store,$49.99,4.5,512,100+ bought in past month,Amazon,Pretty valley,In Stock,"[""Toys & Games"", ""Baby & Toddler Toys"", ""Early Development & Activity Toys"", ""Push & Pull Toys""]",40,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B087P9SXZQ_structured.json,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B087P9SXZQ_structured.png,2026-04-27T16:52:10.775Z,candidate_only_do_not_use_for_dtc
