sku_id,canonical_slug,title_clean,collection_probe,collection_probes_seen,product_url,currency,price_current,price_original,discount_listed,review_count_visible,primary_image_url_probe,catalog_scope,catalog_caveat,source_domain,observed_at,scrape_batch_id,promotion_status
farm-themed-baby-push-walker,farm-themed-baby-push-walker,Farm-Themed Baby Push Walker,all,all,https://labebeclub.com/product/farm-themed-baby-push-walker,USD,52.99,99.99,,,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvZmQzZDEwNmUxMjYyOTc1Nzc3OTA0MDQ3XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/fd3d106e1262975777904047_1.jpg,site_all_only,Observed on all-products page only; needs category placement confirmation.,labebeclub.com,2026-04-27T16:42:12.108997+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
farm-themed-baby-push-walker-eu,farm-themed-baby-push-walker-eu,Farm-Themed Baby Push Walker(EU),all,all,https://labebeclub.com/product/farm-themed-baby-push-walker-eu,USD,67.46,93.53,,,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvYzVkNTNkN2ExMjk3OTUwOTcxNjk1NjA0XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/c5d53d7a1297950971695604_1.jpg,regional_variant,EU/regional variant; keep separate from US DTC and Amazon US identity.,labebeclub.com,2026-04-27T16:42:12.110242+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
foldable-learning-tower-montessori-kitchen-tower-log-color,foldable-learning-tower-montessori-kitchen-tower-log-color,Foldable Learning Tower & Montessori Kitchen Tower (Log Color),all,all;furniture,https://labebeclub.com/product/foldable-learning-tower-montessori-kitchen-tower-log-color,USD,79.99,109.99,,,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvMTVjNzY5ZGQxMjk3OTQ3MzU2MjA1NTMzXzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/15c769dd1297947356205533_1.jpg,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,labebeclub.com,2026-04-27T16:42:12.107885+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
fox-plush-rocker,fox-plush-rocker,Fox Plush Rocker,all,all;rockers-ride-ons,https://labebeclub.com/product/fox-plush-rocker,USD,119.99,189.99,,4.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvYmQzYjQ5ZmMxMjUxNjMwNDg3NDk2NTk5XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/bd3b49fc1251630487496599_1.jpg,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,labebeclub.com,2026-04-27T16:42:12.108851+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
highlander-cattle-plush-rocker,highlander-cattle-plush-rocker,Highlander Cattle Plush Rocker,rockers-ride-ons,new-in;rockers-ride-ons,https://labebeclub.com/product/highlander-cattle-plush-rocker,USD,125.99,199.99,,6.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvMzA5ZTgxOTQxMzMyNjE5ODg5MDA5ODMzXzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2NDB9LCJyb3RhdGUiOm51bGx9fQ==/309e81941332619889009833_1.jpg,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,labebeclub.com,2026-04-27T16:42:20.727637+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
ice-cream-cart-baby-push-walker,ice-cream-cart-baby-push-walker,Ice Cream Cart Baby Push Walker,all,all,https://labebeclub.com/product/ice-cream-cart-baby-push-walker,USD,65.99,99.99,,3.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvYzY0OWQ0NDcxMjYyOTc1NTI2MjQ1ODg2XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/c649d4471262975526245886_1.jpg,site_all_only,Observed on all-products page only; needs category placement confirmation.,labebeclub.com,2026-04-27T16:42:12.109184+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
kids-art-table-chair-set-with-easel-3-in-1,kids-art-table-chair-set-with-easel-3-in-1,Kids Art Table & Chair Set with Easel (3 in 1),furniture,furniture;new-in,https://labebeclub.com/product/kids-art-table-chair-set-with-easel-3-in-1,USD,125.99,209.99,40%,7.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvNjVhMzFlMzUxMzQyNzU0MDA2OTU1NTE5LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NjQwfSwicm90YXRlIjpudWxsfX0=/65a31e351342754006955519.jpg,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,labebeclub.com,2026-04-27T16:42:45.555611+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
kids-coffee-shop-grocery-store-playset,kids-coffee-shop-grocery-store-playset,Kids Coffee Shop & Grocery Store Playset,all,all;pretend-play,https://labebeclub.com/product/kids-coffee-shop-grocery-store-playset,USD,87.99,159.99,,5.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvZWVmMjcwMTQxMjkxMTY0MzI3NzcyMzQ2LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDgwfSwicm90YXRlIjpudWxsfX0=/eef270141291164327772346.jpg,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,labebeclub.com,2026-04-27T16:42:12.109712+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
kids-desk-chair-set-with-cork-board-hutch,kids-desk-chair-set-with-cork-board-hutch,Kids’ Desk & Chair Set with Cork Board & Hutch,furniture,furniture,https://labebeclub.com/product/kids-desk-chair-set-with-cork-board-hutch,USD,179.99,205.99,13%,5.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvMmFiMTNiYTQxMjkxMTU3MTgwNjc4MDQwX2ltYWdlXzIuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2NDB9LCJyb3RhdGUiOm51bGx9fQ==/2ab13ba41291157180678040_image_2.jpg,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,labebeclub.com,2026-04-27T16:42:45.555488+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
kids-toy-storage-organizer-bookshelf-with-bins,kids-toy-storage-organizer-bookshelf-with-bins,Kids Toy Storage Organizer & Bookshelf with Bins,furniture,furniture;storage-shelving,https://labebeclub.com/product/kids-toy-storage-organizer-bookshelf-with-bins,USD,105.99,nan,,7.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvNDE1Zjk2YzgxMzQ5OTk4NjE4NTQ4MTg1XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2NDB9LCJyb3RhdGUiOm51bGx9fQ==/415f96c81349998618548185_1.jpg,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,labebeclub.com,2026-04-27T16:42:45.555440+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
