sku_id,dtc_title,dtc_price,dtc_review_count_visible,asin,amazon_rank,amazon_title,amazon_price,amazon_rating_text,amazon_review_count_text,amazon_url,amazon_image,labebe_like,candidate_score,duplicate_top_asin_count,search_candidate_status,search_candidate_note,screenshot
learning-tower-montessori-kitchen-tower-unicorn-design,Learning Tower & Montessori Kitchen Tower (Unicorn Design),59.99,,B0FMRDDRZK,1,"Toddler Standing Tower for 12M+, Montessori Foldable Learning Standing Tower with Blackboard, Anti-tip Structure Design,Wooden Kitchen Step Helper Stool for 1-3 Year Old Boy Girl Gift",$49.99,"4.4 out of 5 stars, rating details",169.0,https://www.amazon.com/labebe-Standing-Montessori-Blackboard-Structure/dp/B0FMRDDRZK,https://m.media-amazon.com/images/I/71ncVxgSJQL._AC_UL320_.jpg,True,95,6,pdp_queue_variant_cluster,Labebe-like ASIN is shared by multiple DTC SKUs; run PDP variation and image gate before mapping.,qa/marketplace_probe/amazon_search_candidates_full_v1/learning-tower-montessori-kitchen-tower-unicorn-design.png
learning-tower-montessori-kitchen-tower-gray,Learning Tower & Montessori Kitchen Tower (Gray),55.99,,B0FMRDDRZK,1,"labebe Toddler Standing Tower for 12M+, Montessori Foldable Learning Standing Tower with Blackboard, Anti-tip Structure Design,Wooden Kitchen Step Helper Stool for 1-3 Year Old Boy Girl Gift",$49.99,"4.4 out of 5 stars, rating details",169.0,https://www.amazon.com/labebe-Standing-Montessori-Blackboard-Structure/dp/B0FMRDDRZK,https://m.media-amazon.com/images/I/71ncVxgSJQL._AC_UL320_.jpg,True,94,6,pdp_queue_variant_cluster,Labebe-like ASIN is shared by multiple DTC SKUs; run PDP variation and image gate before mapping.,qa/marketplace_probe/amazon_search_candidates_full_v1/learning-tower-montessori-kitchen-tower-gray.png
learning-tower-montessori-kitchen-tower-white,Learning Tower & Montessori Kitchen Tower (White),55.99,,B0FMRDDRZK,1,"labebe Toddler Standing Tower for 12M+, Montessori Foldable Learning Standing Tower with Blackboard, Anti-tip Structure Design,Wooden Kitchen Step Helper Stool for 1-3 Year Old Boy Girl Gift",$49.99,"4.4 out of 5 stars, rating details",169.0,https://www.amazon.com/labebe-Standing-Montessori-Blackboard-Structure/dp/B0FMRDDRZK,https://m.media-amazon.com/images/I/71ncVxgSJQL._AC_UL320_.jpg,True,94,6,pdp_queue_variant_cluster,Labebe-like ASIN is shared by multiple DTC SKUs; run PDP variation and image gate before mapping.,qa/marketplace_probe/amazon_search_candidates_full_v1/learning-tower-montessori-kitchen-tower-white.png
learning-tower-montessori-kitchen-tower-with-slide,Learning Tower & Montessori Kitchen Tower with Slide,107.18,3.0,B0FMRDDRZK,1,"Toddler Standing Tower for 12M+, Montessori Foldable Learning Standing Tower with Blackboard, Anti-tip Structure Design,Wooden Kitchen Step Helper Stool for 1-3 Year Old Boy Girl Gift",$49.99,"4.4 out of 5 stars, rating details",169.0,https://www.amazon.com/labebe-Standing-Montessori-Blackboard-Structure/dp/B0FMRDDRZK,https://m.media-amazon.com/images/I/71ncVxgSJQL._AC_UL320_.jpg,True,94,6,pdp_queue_variant_cluster,Labebe-like ASIN is shared by multiple DTC SKUs; run PDP variation and image gate before mapping.,qa/marketplace_probe/amazon_search_candidates_full_v1/learning-tower-montessori-kitchen-tower-with-slide.png
activity-cube-baby-push-walker,Activity Cube Baby Push Walker,69.99,,B0F8PZ7KZQ,1,"Wooden Baby Walker, Baby Push Walker Doll Stroller, Push Activity Walker for Kids 18M+, Adjustable Speed Learning Walking with Wheels, Birthday Gift for Girls Boys Ages 1-3",$50.99,"4.6 out of 5 stars, rating details",73.0,https://www.amazon.com/labebe-Stroller-Activity-Adjustable-Learning/dp/B0F8PZ7KZQ,https://m.media-amazon.com/images/I/71mumCM4XQL._AC_UL320_.jpg,True,92,4,pdp_queue_variant_cluster,Labebe-like ASIN is shared by multiple DTC SKUs; run PDP variation and image gate before mapping.,qa/marketplace_probe/amazon_search_candidates_full_v1/activity-cube-baby-push-walker.png
activity-montessori-baby-push-walker,Activity Montessori Baby Push Walker,50.99,5.0,B0D6YX3XG1,1,"Wooden Baby Walker, Baby Push Walker, Tool Toy for Toddlers, Adjustable Speed Baby Walker with Wheel, Learning Activity Walker for Girls Boys",$49.99,"4.5 out of 5 stars, rating details",132.0,https://www.amazon.com/labebe-Toddlers-Adjustable-Learning-Activity/dp/B0D6YX3XG1,https://m.media-amazon.com/images/I/61TbBP7kioL._AC_UL320_.jpg,True,92,3,pdp_queue_variant_cluster,Labebe-like ASIN is shared by multiple DTC SKUs; run PDP variation and image gate before mapping.,qa/marketplace_probe/amazon_search_candidates_full_v1/activity-montessori-baby-push-walker.png
cream-wooden-play-kitchen-set-with-storage,Cream Wooden Play Kitchen Set with Storage,129.99,9.0,B0FH1KX7XQ,1,"Play Kitchen for Kids Indoor Pretend Play, Wood Toy Set with 2 Storage Boxes, Stove, Sink, Ice Maker, Pots and Pans, Kitchen Set for Cooking Play","JPY 20,701","4.4 out of 5 stars, rating details",25.0,https://www.amazon.com/labebe-Kitchen-Toddlers-Realistic-Accessories/dp/B0FH1KX7XQ,https://m.media-amazon.com/images/I/71UyVIcwF-L._AC_UL320_.jpg,True,92,3,pdp_queue_variant_cluster,Labebe-like ASIN is shared by multiple DTC SKUs; run PDP variation and image gate before mapping.,qa/marketplace_probe/amazon_search_candidates_full_v1/cream-wooden-play-kitchen-set-with-storage.png
foldable-learning-tower-montessori-kitchen-tower-log-color,Foldable Learning Tower & Montessori Kitchen Tower (Log Color),79.99,,B0FMRDDRZK,1,"Toddler Standing Tower for 12M+, Montessori Foldable Learning Standing Tower with Blackboard, Anti-tip Structure Design,Wooden Kitchen Step Helper Stool for 1-3 Year Old Boy Girl Gift",$49.99,"4.4 out of 5 stars, rating details",169.0,https://www.amazon.com/labebe-Standing-Montessori-Blackboard-Structure/dp/B0FMRDDRZK,https://m.media-amazon.com/images/I/71ncVxgSJQL._AC_UL320_.jpg,True,91,6,pdp_queue_variant_cluster,Labebe-like ASIN is shared by multiple DTC SKUs; run PDP variation and image gate before mapping.,qa/marketplace_probe/amazon_search_candidates_full_v1/foldable-learning-tower-montessori-kitchen-tower-log-color.png
learning-tower-montessori-kitchen-tower-log-color,Learning Tower & Montessori Kitchen Tower (Log Color),76.69,,B0FMRDDRZK,1,"labebe Toddler Standing Tower for 12M+, Montessori Foldable Learning Standing Tower with Blackboard, Anti-tip Structure Design,Wooden Kitchen Step Helper Stool for 1-3 Year Old Boy Girl Gift",$49.99,"4.4 out of 5 stars, rating details",169.0,https://www.amazon.com/labebe-Standing-Montessori-Blackboard-Structure/dp/B0FMRDDRZK,https://m.media-amazon.com/images/I/71ncVxgSJQL._AC_UL320_.jpg,True,90,6,pdp_queue_variant_cluster,Labebe-like ASIN is shared by multiple DTC SKUs; run PDP variation and image gate before mapping.,qa/marketplace_probe/amazon_search_candidates_full_v1/learning-tower-montessori-kitchen-tower-log-color.png
panda-baby-push-walker,Panda Baby Push Walker,66.64,,B0D6YX3XG1,1,"Wooden Baby Walker, Baby Push Walker, Tool Toy for Toddlers, Adjustable Speed Baby Walker with Wheel, Learning Activity Walker for Girls Boys",$49.99,"4.5 out of 5 stars, rating details",132.0,https://www.amazon.com/labebe-Toddlers-Adjustable-Learning-Activity/dp/B0D6YX3XG1,https://m.media-amazon.com/images/I/61TbBP7kioL._AC_UL320_.jpg,True,90,3,pdp_queue_variant_cluster,Labebe-like ASIN is shared by multiple DTC SKUs; run PDP variation and image gate before mapping.,qa/marketplace_probe/amazon_search_candidates_full_v1/panda-baby-push-walker.png
