sku_id,title_clean,product_url,resolved_url,source_status,text_length,button_count,image_count,horizontal_overflow,dimensions_hits,materials_hits,safety_hits,age_hits,assembly_hits,care_hits,shipping_hits,raw_text_path,screenshot,observed_at
pink-unicorn-plush-rocker,Pink Unicorn Plush Rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,captured_official_pdp_text,8513,48,38,False,7,13,31,30,8,4,9,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/pdp_source_probe_v1/raw_text/pink-unicorn-plush-rocker.txt,/vol1/1000/projects/toyresearch/qa/labebe_pdp_source_probe_v1/pink-unicorn-plush-rocker.png,2026-04-27T20:08:07.139355+00:00
cream-wooden-play-kitchen-set-with-storage,Cream Wooden Play Kitchen Set with Storage,https://labebeclub.com/product/cream-wooden-play-kitchen-set-with-storage,https://labebeclub.com/product/cream-wooden-play-kitchen-set-with-storage,captured_official_pdp_text,6612,52,55,False,3,12,12,27,10,13,8,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/pdp_source_probe_v1/raw_text/cream-wooden-play-kitchen-set-with-storage.txt,/vol1/1000/projects/toyresearch/qa/labebe_pdp_source_probe_v1/cream-wooden-play-kitchen-set-with-storage.png,2026-04-27T20:08:07.139355+00:00
foldable-learning-tower-montessori-kitchen-tower-log-color,Foldable Learning Tower & Montessori Kitchen Tower (Log Color),https://labebeclub.com/product/foldable-learning-tower-montessori-kitchen-tower-log-color,https://labebeclub.com/product/foldable-learning-tower-montessori-kitchen-tower-log-color,captured_official_pdp_text,4354,26,21,False,7,13,25,23,8,5,7,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/pdp_source_probe_v1/raw_text/foldable-learning-tower-montessori-kitchen-tower-log-color.txt,/vol1/1000/projects/toyresearch/qa/labebe_pdp_source_probe_v1/foldable-learning-tower-montessori-kitchen-tower-log-color.png,2026-04-27T20:08:07.139355+00:00
children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,Children’s Writing Desk and Chair Set with Hutch & Cork Board for Study & Art,https://labebeclub.com/product/children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,https://labebeclub.com/product/children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,captured_official_pdp_text,3719,44,32,False,4,2,8,10,5,6,6,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/pdp_source_probe_v1/raw_text/children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art.txt,/vol1/1000/projects/toyresearch/qa/labebe_pdp_source_probe_v1/children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art.png,2026-04-27T20:08:07.139355+00:00
kids-toy-storage-organizer-bookshelf-with-bins,Kids Toy Storage Organizer & Bookshelf with Bins,https://labebeclub.com/product/kids-toy-storage-organizer-bookshelf-with-bins,https://labebeclub.com/product/kids-toy-storage-organizer-bookshelf-with-bins,captured_official_pdp_text,6241,73,79,False,2,7,11,23,9,12,7,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/pdp_source_probe_v1/raw_text/kids-toy-storage-organizer-bookshelf-with-bins.txt,/vol1/1000/projects/toyresearch/qa/labebe_pdp_source_probe_v1/kids-toy-storage-organizer-bookshelf-with-bins.png,2026-04-27T20:08:07.139355+00:00
natural-wood-montessori-shelf-with-storage-boxes,Natural Wood Montessori Shelf with Storage Boxes,https://labebeclub.com/product/natural-wood-montessori-shelf-with-storage-boxes,https://labebeclub.com/product/natural-wood-montessori-shelf-with-storage-boxes,captured_official_pdp_text,6024,69,66,False,4,9,9,18,10,12,7,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/pdp_source_probe_v1/raw_text/natural-wood-montessori-shelf-with-storage-boxes.txt,/vol1/1000/projects/toyresearch/qa/labebe_pdp_source_probe_v1/natural-wood-montessori-shelf-with-storage-boxes.png,2026-04-27T20:08:07.139355+00:00
wooden-mud-kitchen-outdoor-play-kitchen-with-planter-box-sink,Wooden Mud Kitchen with Planter Box,https://labebeclub.com/product/wooden-mud-kitchen-outdoor-play-kitchen-with-planter-box-sink,https://labebeclub.com/product/wooden-mud-kitchen-outdoor-play-kitchen-with-planter-box-sink,captured_official_pdp_text,5104,49,39,False,4,15,22,22,3,7,13,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/pdp_source_probe_v1/raw_text/wooden-mud-kitchen-outdoor-play-kitchen-with-planter-box-sink.txt,/vol1/1000/projects/toyresearch/qa/labebe_pdp_source_probe_v1/wooden-mud-kitchen-outdoor-play-kitchen-with-planter-box-sink.png,2026-04-27T20:08:07.139355+00:00
activity-cube-baby-push-walker,Activity Cube Baby Push Walker,https://labebeclub.com/product/activity-cube-baby-push-walker,https://labebeclub.com/product/activity-cube-baby-push-walker,captured_official_pdp_text,4464,51,39,False,4,16,19,13,1,5,9,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/pdp_source_probe_v1/raw_text/activity-cube-baby-push-walker.txt,/vol1/1000/projects/toyresearch/qa/labebe_pdp_source_probe_v1/activity-cube-baby-push-walker.png,2026-04-27T20:08:07.139355+00:00
